,0,1,2,3,4,5,6,7,8,9
ESTADO CIVIL__Otros_ESTADO CIVIL,-0.6090197860110342,0.8857937096330164,0.019838935041521892,0.39983668760562446,2.0467040993669534,-0.11583014210272399,2.890551110017737,-1.4047185233156212,0.5633011397550272,-0.04696637355333696
ETNIA__6- Ninguno,0.0017408881763530189,-0.0016651526570940999,-0.00015316391651666898,-0.0028088239061959098,-0.002814735284030964,-0.0033424495834828826,0.005271834166662491,0.004704050189296604,-0.0011027226306658984,-0.003243428994628701
ETNIA__Otros_ETNIA,-0.2713512728880393,0.2595464195764435,0.023873574576401078,0.43780982180103684,0.4387312249800876,0.5209857596610311,-0.8217178627608906,-0.7332176896444484,0.17188076381824943,0.5055514754877849
POBLACIÓN DIFERENCIAL Y DE INCLUSIÓN__13- Migrante,-1.0709223496326246,-0.4357932337821719,0.06702557805319205,1.6862216030905817,0.09854165111890069,-1.2127544071066212,0.8728697230907988,0.6792556206161111,-0.1000029657201218,-0.572135344530069
POBLACIÓN DIFERENCIAL Y DE INCLUSIÓN__14- No Aplica,0.10539528853803272,0.04026195090029346,-0.009523651912489977,-0.15904138478921273,-0.015456486377621632,0.1171956284725128,-0.08578581139323159,-0.059732456295494826,-0.010071446815902524,0.015315750626099085
POBLACIÓN DIFERENCIAL Y DE INCLUSIÓN__Otros_POBLACIÓN DIFERENCIA,-0.48861355608986334,0.2982195929648742,0.5844886555893349,-0.5379549129479257,1.134585300736953,-0.1449619419044126,0.3759150393266617,-1.0367335568872216,3.722392330305657,7.495372416109961
OCUPACIÓN__11- Ninguno,-0.6458007972958623,0.32465212061267684,-0.32309712586868955,0.0935231668474476,-0.5922369281828607,-0.6353165815518291,-0.37463092661806713,0.9425078073420371,0.6523682493243218,0.4017562235612609
OCUPACIÓN__19-En acompañamiento laboral,-0.6073221672715089,-0.32796531348307134,3.5996684778913393,-0.44888912681332843,-0.8027174759359184,-0.869291233936577,0.4674918439369311,-0.8741198346760031,0.5210739067929564,0.4423984231544156
OCUPACIÓN__2- Trabajo informal,-0.7629588899094504,0.11278950843598776,-0.10303220323950465,0.9938983713970806,-0.1554036935330035,0.7527725562316941,0.08865283331188063,-0.6453728316568023,0.43337256063414437,-0.28270107756449186
OCUPACIÓN__3- Estudiante,-0.6135660622412956,0.38525527653724956,-0.045042933062184806,-0.42037907212546877,0.17621672144320122,-0.20335225926000686,-0.05905462244047943,0.244961171253235,-0.2826818675598148,0.09010553857390291
OCUPACIÓN__No_reporta,1.1678702243350816,-0.5092013248050206,-0.09619043289866232,0.006595447447143712,0.007360277926321569,0.012890346706018324,0.035131140197486546,-0.03337567835505203,-0.02078045796949208,-0.04600847741020751
OCUPACIÓN__Otros_OCUPACIÓN,-0.021738300577750603,1.903239253800646,0.0887990140937591,0.49625087805067675,1.0057087970844651,-0.9337763743514174,1.7188468213236445,0.33105878913120484,1.2227427066424414,-0.48992412181722567
